Cluster,Cluster.1,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,bin_frac_05,n_members,rh,e_rh,t_relax,e_t_relax,tau,e_tau,bin_frac_ref,bin_frac_ref_05,n_systems,bin_frac_corr,e_bin_frac,bin_frac_05_corr,e_bin_frac_05
ASCC_128,ASCC_128,349.7955,54.3994,0.644,0.001,8.388,0.1,-0.052,0.055,0.681,0.069,124,-1.06111,0.31077,1.41577,0.35114,-0.2,0.05747,1.37322,0.06159,241,48,0.5241935483870968,0.54723,0.2516,1.59254,5.91828,0.54013,0.0,0.2983870967741935,189.0,5.915733329659688,0.7852995263997925,82.99270771239087,18.477116134880664,2.9441509019823986,0.9429812933732552,0.5301936741302166,0.3138044812388799,124,0.5154291451919952,0.044848730716785995,0.3072587540432143,0.04108922600846468
ASCC_13,ASCC_13,78.2872,44.4252,1.08,0.004,8.134,0.053,-0.12,0.05,0.882,0.049,293,-1.6535,0.21898,2.01464,0.25174,-0.1612,0.02454,1.58473,0.04307,576,115,0.6245733788395904,0.66179,0.25884,1.41437,10.89127,0.27317,7e-05,0.4436860068259385,476.0,11.842785247289362,0.8280499433968934,315.5695545705566,45.69245125955673,0.4314245980790751,0.0816957104420676,0.4917360605476709,0.3337176762993803,293,0.4965700855374511,0.04603929486834792,0.3399513030901214,0.04141163913668475
ASCC_16,ASCC_16,81.2316,1.6235,0.342,0.001,7.301,0.072,0.18,0.019,0.038,0.053,481,-1.92132,0.29318,0.73142,0.26905,-0.2,0.04743,1.58897,0.0682,441,88,0.4054054054054054,0.68666,0.2121,1.07665,2.38865,0.12508,0.43509,0.3222453222453222,676.0,2.804166321846322,0.249683049189488,55.316958947943625,9.22201645800838,0.3615278040708505,0.0849998112494722,0.4382981178433785,0.3109662778803293,481,0.4329328424255283,0.023652318825657825,0.30458679883531475,0.021832290295884606
ASCC_21,ASCC_21,82.1709,3.4393,0.339,0.0,7.011,0.035,-0.118,0.04,0.283,0.065,324,-1.01211,0.33296,0.01289,0.28135,-0.2,0.22471,1.46231,0.15549,367,73,0.2716049382716049,0.67624,0.2231,1.11475,2.08445,0.17204,0.17871,0.2037037037037037,412.0,3.1632762100415426,0.3745645360428926,48.57385287481284,9.887918774959058,0.2111530927749901,0.0462292136037241,0.5703271523249491,0.4081356440779305,324,0.5616875967710098,0.08559341285335278,0.399162357952709,0.06082124949319491
ASCC_23,ASCC_23,94.9038,46.6552,0.604,0.001,8.489,0.084,-0.069,0.046,0.376,0.044,165,-2.48028,0.52298,1.47645,0.29169,-0.09926,0.03635,1.52865,0.08211,248,49,0.5212121212121212,0.60778,0.20757,1.1971,5.59729,0.22107,0.07295,0.4,251.0,2.902844604651536,0.3331811010472539,35.048324875197444,6.956957375989887,8.796962369038159,2.4380589195794373,0.6389502692401525,0.4649095414992324,165,0.6022360766793731,0.04516487643499878,0.4271124324816224,0.03872490152554881
ASCC_29,ASCC_29,103.556,-1.6495,0.988,0.011,8.129,0.085,-0.077,0.025,0.245,0.023,83,-1.41007,0.31793,1.81771,0.38568,-0.15249,0.04727,1.29508,0.06739,183,36,0.4096385542168674,0.42954,0.28635,1.19496,2.22426,0.23036,0.19328,0.1927710843373494,117.0,2.3433113185584444,0.3204260061093024,16.531600693755156,3.7605432924000106,8.141137564279232,2.4430408862761785,0.5130036591957016,0.2840196030863068,83,0.5163732889463682,0.06058814792621192,0.2950805316456485,0.05152294888643496
ASCC_30,ASCC_30,104.2999,-6.3039,1.054,0.014,8.284,0.061,-0.115,0.066,0.662,0.087,158,-1.41979,0.24605,2.05389,0.30804,-0.12818,0.03204,1.48195,0.05173,325,65,0.4113924050632911,0.62057,0.24829,1.40977,7.19653,0.25831,0.00975,0.2468354430379747,223.0,6.735968650014217,1.0347540316471149,98.6818795508954,24.787695994197623,1.9487789831955145,0.5608413028175415,0.5136759856292006,0.3123279096436782,158,0.5418009163227847,0.05387316664980505,0.3418046137968275,0.04411496499213129
ASCC_41,ASCC_41,116.5811,0.1407,0.292,0.0,8.0,0.0,-0.036,0.0,0.01,0.0,172,-2.11335,1.39517,0.05369,0.41894,-0.14519,0.15969,1.19448,0.16989,126,25,0.2383720930232558,0.63534,0.22267,1.04543,5.29042,0.29202,0.06808,0.1744186046511628,213.0,2.8366607818373057,0.3992851822623728,41.79643374237283,9.75042693029254,2.3925486230807524,0.5581426078194519,0.3114175178853973,0.2168127728144256,172,0.38126255897903855,0.05148624111484775,0.2728839424047671,0.039281514056288505
ASCC_67,ASCC_67,175.2573,-60.9841,1.878,0.051,7.933,0.054,0.122,0.062,0.826,0.032,379,-1.60191,0.27407,1.99674,0.2166,-0.04045,0.0276,1.89361,0.07108,869,173,0.5593667546174143,0.58768,0.27033,1.21626,5.69254,0.17306,0.01061,0.3218997361477572,591.0,8.894887862150012,0.4610352208751506,199.41696216461105,25.18722497878336,0.4297717886821069,0.0761716606947565,0.5257921611749803,0.3547948338306943,379,0.5106715860621669,0.02897277654689499,0.33884336211328636,0.024423314093609597
ASCC_71,ASCC_71,185.0383,-67.4613,1.236,0.023,8.071,0.045,-0.069,0.079,1.001,0.065,179,-1.65611,0.28705,1.88024,0.23971,-0.08666,0.03114,1.52766,0.0673,432,86,0.4972067039106145,0.53279,0.23116,1.28177,5.43335,0.21352,0.02771,0.2681564245810056,268.0,3.987191733014364,0.5260427092483727,45.00345945017524,9.969248026421612,2.616701000118828,0.6399332527864534,0.4942135826745832,0.2859286191823766,179,0.4915060183559433,0.037371171446587845,0.28633506909002426,0.033419070815764194
ASCC_77,ASCC_77,212.7274,-62.3329,1.079,0.012,8.162,0.074,0.124,0.036,0.824,0.04,225,-1.54661,0.20111,1.9522,0.19803,-0.09789,0.02252,1.70897,0.04153,480,96,0.6666666666666666,0.6184,0.24189,1.39679,3.39075,0.25984,0.00076,0.44,375.0,2.4946626051823886,0.318844443502251,27.58298585914489,5.964243575751305,5.264519312749857,1.4493041704924847,0.4681854562821515,0.2485097519919153,225,0.48833362610392195,0.05942994315334549,0.2643751179288325,0.061125012398696006
ASCC_85,ASCC_85,251.6975,-45.5185,0.847,0.006,8.267,0.09,0.056,0.036,0.747,0.026,222,-1.3284,0.19297,2.35252,0.33897,-0.17087,0.02854,1.57407,0.0401,383,76,0.4504504504504504,0.5491,0.26671,1.2002,5.24794,0.26672,0.00063,0.2747747747747748,322.0,4.803612805806576,0.4209721117392331,73.06903048173665,12.034079201908538,2.53085145209405,0.6699336660176206,0.4733281928790308,0.2885758756062803,222,0.4755277790708597,0.03398277699472561,0.30973336969013315,0.03128835921461403
ASCC_9,ASCC_9,41.6957,57.7834,2.119,0.05,7.265,0.062,-0.106,0.079,2.579,0.031,537,-1.446,0.19806,2.057,0.22399,0.06421,0.0275,2.14026,0.0837,2154,430,0.5735567970204841,0.69543,0.256,1.38876,8.17966,0.33491,0.00033,0.4264432029795158,845.0,10.932873430176192,0.4752942658561003,231.62787462043715,27.616553926067983,0.0794710914860908,0.0147815885722451,0.4738792810004488,0.2973450289548232,537,0.4690978682989834,0.03686202996494362,0.2920414961968005,0.044066072526555616
ASCC_97,ASCC_97,279.2937,-19.1604,0.561,0.003,8.07,0.167,0.075,0.08,1.508,0.065,140,-1.65519,0.34009,1.99606,0.33945,-0.08945,0.03523,1.5119,0.08099,280,56,0.5142857142857142,0.6588,0.20684,1.2071,1.30372,0.25134,0.02373,0.3785714285714285,212.0,1.5738429697796794,0.238786451888594,11.544968727791884,2.8698933742511,10.176706257429975,4.659760249964674,0.5265093023068168,0.3533327030763205,140,0.5202058468979521,0.0422404611689641,0.34293064002168505,0.041755914456856044
Alessi_12,Alessi_12,310.8453,23.933,0.534,0.0,8.369,0.114,0.003,0.019,0.272,0.035,369,-1.74628,0.27375,1.47123,0.32272,-0.2,0.03575,1.6195,0.04941,485,97,0.4850948509485094,0.68616,0.22802,1.03225,6.76948,0.10309,0.41607,0.3414634146341463,548.0,5.782299614891967,0.4084604692821916,131.54633437846817,19.1658345768254,1.777956983529737,0.53377491856439,0.5163689902695825,0.365940405421707,369,0.4965281082281695,0.026187315607230095,0.3486932195614854,0.02472305215035526
Alessi_2,Alessi_2,71.5109,55.2127,0.602,0.002,8.502,0.034,-0.086,0.022,0.923,0.058,219,-2.05429,0.51569,1.35334,0.20437,-0.08663,0.03947,1.64342,0.0833,317,63,0.547945205479452,0.61736,0.21988,1.14539,7.16951,0.16909,0.12186,0.3789954337899543,339.0,4.633883528926556,0.5471841182980229,79.27525501086956,16.100382125240245,4.007396848126429,0.8722552036611803,0.6570662269846846,0.5396511871277152,219,0.6214522414542188,0.03973188728692757,0.4941617107990784,0.04630581742516333
Alessi_21,Alessi_21,107.723,-9.3886,0.557,0.0,8.0,0.0,-0.048,0.0,0.372,0.0,236,-1.67696,0.37049,1.3643,0.45012,-0.2,0.05681,1.52746,0.08254,386,77,0.5338983050847458,0.65148,0.24133,1.14623,3.85042,0.22131,0.02398,0.4110169491525424,362.0,4.047508631033441,0.4881637939037858,61.79855888982394,12.766699308327846,1.618160711130539,0.3342888831499158,0.4985355125516573,0.3331395948680615,236,0.5015321901837868,0.03357422883040417,0.34127348740536156,0.037460242961283495
Alessi_37,Alessi_37,341.9395,46.3409,0.698,0.002,8.417,0.127,-0.009,0.044,0.647,0.061,187,-1.64751,0.27735,1.86685,0.23767,-0.1489,0.028,1.47249,0.05078,309,61,0.5294117647058824,0.60384,0.23877,1.13927,5.79351,0.15367,0.25633,0.3368983957219251,286.0,4.699425983229577,0.5708713101351829,71.66527253014591,14.851348585613792,3.644947213869036,1.306394434391615,0.654513775793628,0.4408330570684238,187,0.6444933727245958,0.04917261596373676,0.442123704912603,0.04493164857039112
Alessi_6,Alessi_6,220.0055,-66.0743,0.859,0.007,8.624,0.093,-0.191,0.044,1.225,0.085,265,-1.45521,0.25521,2.04146,0.19788,-0.09775,0.02365,1.69811,0.0485,598,119,0.5660377358490566,0.62396,0.21866,1.30664,6.74063,0.35045,0.0,0.4415094339622641,415.0,3.355142860591198,0.2644525802428298,41.8099759592028,6.460726817058322,10.062828756347049,2.65731834510174,0.4994079864614492,0.30374975405431,265,0.5020109726369062,0.03508897070366919,0.30474144470205516,0.04987369839665979
Alessi_62,Alessi_62,284.0491,21.5531,0.607,0.002,8.936,0.014,0.035,0.059,0.864,0.094,157,-1.75713,0.33602,2.1294,0.1862,-0.10389,0.02212,1.54767,0.0464,285,57,0.5414012738853503,0.63907,0.22125,1.12399,2.64559,0.30272,0.0015,0.4012738853503185,242.0,2.3948003667717246,0.3180340751163788,23.80865872805746,5.306809809820817,36.24641596252492,8.16316900014708,0.5566639521466533,0.3633838595691612,157,0.5620217813489039,0.04010119998709635,0.3687801297344278,0.040151088048933914
Alessi_8,Alessi_8,232.5152,-51.2035,0.65,0.003,8.32,0.067,-0.051,0.054,0.335,0.046,80,-1.12576,0.40624,1.76437,0.49104,-0.2,0.06244,1.24241,0.0807,163,32,0.525,0.49937,0.23773,1.27588,2.8655,0.37656,0.00631,0.25,122.0,2.7396857466114226,0.405207401042876,22.841610334444333,5.541368351065865,9.146886319584294,2.629707489673006,0.5565541908142844,0.3280276692214262,80,0.558413702435741,0.05618037357476364,0.3321819290565524,0.05306674894649191
Alessi_Teutsch_11,Alessi_Teutsch_11,304.2059,52.0102,0.638,0.002,8.253,0.13,0.024,0.039,0.257,0.047,137,-1.54694,0.28352,1.32519,0.16617,-0.11956,0.03455,1.44864,0.05898,217,43,0.5109489051094891,0.54755,0.25307,1.46606,3.08545,0.37954,0.00013,0.2992700729927007,207.0,2.085945418558686,0.2769673571266303,19.643977307183853,4.369799310937885,9.115291806921734,3.399478423303122,0.4389408278825586,0.2865912969696002,137,0.4361879180130336,0.04769106880440982,0.2849241358204958,0.03912431025055068
Alessi_Teutsch_3,Alessi_Teutsch_3,118.2504,-52.99,0.684,0.002,8.173,0.17,-0.039,0.02,0.744,0.043,133,-1.79785,0.33525,2.00294,0.4135,-0.2,0.03818,1.29049,0.06,235,47,0.4210526315789473,0.61624,0.28286,1.30663,6.08985,0.26923,0.02904,0.2481203007518796,189.0,3.949221584037877,0.6335637720742409,45.842563398274834,11.946207529628335,3.24886081254122,1.527769919102168,0.496299609001547,0.3024013963903641,133,0.4857037793963127,0.04605375332780145,0.2949945075484415,0.03961580293413083
Antalova_2,Antalova_2,262.4912,-32.5176,1.184,0.03,6.76,0.073,0.019,0.045,1.336,0.118,76,-1.03702,0.27772,1.98288,0.5825,-0.2,0.05724,1.11734,0.1015,161,32,0.618421052631579,0.67685,0.20924,1.09704,1.61058,0.29724,0.21455,0.4342105263157895,123.0,1.370608275750451,0.5486983109508776,8.182025022956822,4.980118132879546,0.7032976991913477,0.4440965906200695,0.5275069566450329,0.2553449932075505,76,0.5322989220542603,0.060119758031803444,0.2712457745845148,0.07245930612591066
BDSB96,BDSB96,106.3591,-12.3197,1.083,0.017,6.685,0.055,0.003,0.088,1.13,0.24,88,-1.34855,0.18232,2.47245,0.47512,-0.19479,0.03008,1.26601,0.05095,181,36,0.5454545454545454,0.74547,0.19682,1.28536,1.14772,0.15152,0.82128,0.4318181818181818,136.0,0.7889226015982695,0.3198393664635474,3.632384876024583,2.238265052433715,1.3329324510182277,0.8385163472316766,0.440622207794901,0.2376717990869982,88,0.4563364559657438,0.05772376713830373,0.2443569879529254,0.07487824491349988
BH_164,BH_164,222.1841,-66.3594,0.399,0.007,7.769,0.052,-0.003,0.021,0.422,0.05,377,-1.56942,0.37022,0.58761,0.38287,-0.2,0.08407,1.53209,0.08933,432,86,0.493368700265252,0.57299,0.21439,1.02423,4.32456,0.06277,0.96066,0.2970822281167108,563.0,3.19141329908715,0.2723218785956166,58.42367168938576,9.47295673215795,1.0055673249247534,0.2026823246769501,0.3981389231495895,0.2756903101472492,377,0.405259772968233,0.03608926712301828,0.28094689622368435,0.023964862609160652
BH_200,BH_200,252.4797,-44.1808,2.038,0.043,7.416,0.065,0.13,0.028,2.596,0.025,261,-1.5479,0.37883,1.72685,0.31103,0.03562,0.0455,1.86878,0.11607,976,195,0.4789272030651341,0.61987,0.26478,1.2545,2.20769,0.4059,9e-05,0.2911877394636015,386.0,1.8561951901198737,0.1687854976045945,12.706094674217937,2.148175000745382,2.0511050931228065,0.4631320910781178,0.5657748828203509,0.3962667663094325,261,0.5394655233476198,0.03518481647134954,0.364955863997272,0.035217486041710995
BH_205,BH_205,254.0465,-40.635,1.616,0.031,6.78,0.064,0.148,0.045,1.445,0.038,598,-1.18491,0.12323,2.56314,0.28953,-0.13726,0.0225,1.91893,0.04323,1643,328,0.6086956521739131,0.7536,0.2346,1.13882,2.10006,0.0455,0.89492,0.4565217391304347,962.0,3.127394905474492,0.2118850305068795,45.18771135081192,6.436917369607223,0.1333458960548865,0.0273304190077659,0.4479584831097173,0.276737934441123,598,0.4566085096611159,0.04760073030344308,0.28189723252449084,0.05472507208560276
BH_23,BH_23,123.53,-36.2622,0.432,0.001,7.449,0.423,-0.013,0.034,0.141,0.425,166,-1.48794,0.48532,0.1394,0.44152,-0.2,0.16789,1.22225,0.15773,181,36,0.536144578313253,0.66718,0.22559,1.32364,3.90639,0.33649,0.01966,0.3734939759036144,255.0,2.308822093044524,0.5409287428352035,29.463416727978903,10.76096590226568,0.9543702471304748,0.992754870759242,0.5263326103595105,0.3638293849283014,166,0.5079964420063162,0.03929547741526961,0.35673774561225996,0.03766543924242378
BH_87,BH_87,151.1534,-55.3638,2.041,0.084,7.389,0.193,0.027,0.054,1.942,0.046,314,-2.49915,0.27092,2.64531,0.28947,0.01233,0.01871,1.92604,0.05934,909,181,0.5573248407643312,0.74487,0.2396,0.92598,2.71775,0.19596,0.00941,0.4235668789808917,489.0,2.0803416346382866,0.1648346880999341,18.90270299275984,2.9307054012591465,1.2956153639946588,0.609804603526695,0.5753634170175094,0.409367840968047,314,0.5383610637759897,0.028375032849513003,0.36890350588902177,0.031854952717796696
BH_90,BH_90,153.0698,-58.0717,2.384,0.082,7.696,0.292,0.01,0.056,1.979,0.097,243,-2.02665,0.36037,1.63764,0.20488,0.04633,0.031,1.83494,0.10706,594,118,0.6666666666666666,0.664,0.25978,1.13465,1.76166,0.13365,0.45127,0.4444444444444444,405.0,1.5680880392967085,0.1430592340857549,13.143484386958132,2.222492795873237,3.77823952028344,2.619423891298153,0.4866432283032064,0.2968250870124525,243,0.4877773137450565,0.05997012683030227,0.2991767865804511,0.053304928167090496
BH_92,BH_92,154.7782,-56.42,2.301,0.05,7.449,0.195,-0.009,0.036,1.897,0.06,73,-1.18355,0.3544,1.55179,0.34701,0.02499,0.06203,1.43735,0.12313,215,43,0.5205479452054794,0.59808,0.28772,1.07144,0.80176,0.375,0.0363,0.3287671232876712,111.0,0.6765392904315297,0.164243875803666,2.275824239444757,0.8594350112520089,12.355527204881916,7.248959883100186,0.4420553837705054,0.2299219915205142,73,0.44944466038595504,0.06150217220248631,0.23310529325743617,0.05970061675279007
Basel_11a,Basel_11a,109.3146,-13.9862,1.317,0.027,8.036,0.112,-0.126,0.043,0.582,0.047,145,-1.88476,0.34415,2.0336,0.28379,-0.13203,0.03374,1.34605,0.06998,242,48,0.5310344827586206,0.57756,0.25485,1.35629,2.06367,0.31021,0.00187,0.3241379310344827,222.0,1.611217091230592,0.2009928307147506,13.331695242268918,2.823327427232452,8.14919336119002,2.719388439042659,0.5163322550179892,0.3480138801815087,145,0.5195780366514194,0.041442678391667764,0.35125440987746565,0.03928623352594872
Basel_11b,Basel_11b,89.5399,21.9688,1.66,0.028,8.456,0.045,-0.093,0.049,1.918,0.054,116,-1.80688,0.53805,1.48111,0.27899,-0.01582,0.0503,1.42379,0.12911,412,82,0.6120689655172413,0.56621,0.26824,1.36332,1.88184,0.2729,0.02426,0.3620689655172414,187.0,1.8436622381958088,0.2255848955779263,10.95363498368678,2.2868819235564763,26.0880570480096,6.080518149112909,0.5265157136217911,0.3672293240043195,116,0.5236584119489541,0.0517992719020311,0.3546078302056393,0.04462246126522514
Basel_17,Basel_17,167.6268,-59.082,2.118,0.087,7.913,0.051,0.016,0.064,0.781,0.033,230,-1.82649,0.27998,2.48042,0.3398,-0.09258,0.02677,1.59448,0.06054,798,159,0.5869565217391305,0.66308,0.23385,1.32803,3.6326,0.30528,5e-05,0.408695652173913,365.0,4.99933049153853,0.4237980488959085,59.39106750591922,9.593765072162793,1.3780940846924798,0.2752187099693983,0.5727346687160151,0.4002515055653885,230,0.5501678180137449,0.03393142020642935,0.3674311881353738,0.03430442599199012
Basel_18,Basel_18,202.0204,-62.3073,1.722,0.045,7.381,0.046,0.094,0.052,1.154,0.047,117,-1.44976,0.19738,2.10409,0.30076,-0.06571,0.03582,1.47719,0.05353,362,72,0.5982905982905983,0.68921,0.26537,1.32069,2.46778,0.30162,0.00839,0.4102564102564102,187.0,2.3550237091517223,0.5004055747166518,16.870325886525045,5.632677234884027,1.4252023441511514,0.4992180464829565,0.5390455252061274,0.3842759287691692,117,0.5489402134627989,0.046872350579643354,0.38148023536634046,0.04599685495835317
Berkeley_1,Berkeley_1,2.4542,60.469,3.541,0.152,8.179,0.475,-0.141,0.045,2.05,0.083,112,-2.14327,0.66169,1.50843,0.2296,0.05669,0.04472,1.61472,0.17761,617,123,0.8303571428571429,0.58797,0.25308,,,,,0.5089285714285714,205.0,1.88813017091362,0.3061597441459082,9.957481081470126,2.61738708569664,15.165282683531853,17.058983008969108,0.5311534852711063,0.3028228219339556,112,0.5308523757544266,0.0902902246884421,0.30477967331766576,0.07356550742717331
Berkeley_10,Berkeley_10,54.8992,66.4809,2.093,0.053,8.895,0.02,-0.116,0.055,2.649,0.07,235,-0.9677,0.59563,1.53781,0.20883,0.07311,0.04776,1.81732,0.12747,882,176,0.6468085106382979,0.72911,0.29462,1.1908,3.50343,0.12949,0.58448,0.4425531914893617,387.0,2.4924645200975246,0.2129038406575613,20.840659842372165,3.3843854961021456,37.678060126175566,6.359937557837267,0.5875968527245304,0.4215859376604307,235,0.5571717164907887,0.04102280618296378,0.38381031632729423,0.0362721714616876
Berkeley_11,Berkeley_11,65.1311,44.9242,2.436,0.147,7.794,0.311,-0.15,0.025,2.75,0.04,150,-1.75295,0.28412,2.00813,0.29483,0.07445,0.02853,1.76069,0.08416,514,102,0.6266666666666667,0.69239,0.23234,2.12512,1.86439,0.49882,0.01841,0.4866666666666667,244.0,1.5840886282271849,0.1907550574115995,9.599188036057006,1.9782679273579409,6.482842953296047,4.830813178019482,0.5157778616685218,0.277355395840259,150,0.5104343058768979,0.051726928011254274,0.2742671999402754,0.07336155739693442
Berkeley_15,Berkeley_15,75.4981,44.5009,2.14,0.118,7.468,0.288,-0.138,0.029,2.856,0.071,212,-2.30931,0.44534,1.54577,0.23747,0.10723,0.03239,1.99598,0.13395,544,108,0.5707547169811321,0.6797,0.27264,1.5163,4.23204,0.294,0.04549,0.4056603773584906,333.0,2.2909023164812203,0.2600265208861027,20.73896354924789,4.087237491501184,1.416488169712833,0.9799408196529166,0.5166043253142455,0.2852029381282108,212,0.5156846624334492,0.03704465755990912,0.291104199632761,0.04702152246397632
Berkeley_28,Berkeley_28,103.0329,2.9227,3.585,0.239,8.525,0.084,-0.257,0.053,2.122,0.075,137,-2.55232,0.51826,1.79146,0.17769,0.09913,0.02373,1.88719,0.13099,356,71,0.7518248175182481,0.66125,0.25485,,,0.21573,0.65448,0.4890510948905109,240.0,1.8118922593601472,0.2421025042284683,13.928736587886233,3.1181473787468685,24.048515602567004,7.114680665101564,0.5419961087831219,0.3419946645703646,137,0.539209439622644,0.07062326624247285,0.34278559752393845,0.06048351567587497
