Cluster,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,n_members,rh,e_rh,t_relax,e_t_relax,bin_frac_05,bin_frac_corr,er_bin_frac,bin_frac_05_corr,er_bin_frac_05,tau,e_tau
ASCC_16,81.2316,1.6235,0.342,0.001,7.301,0.072,0.18,0.019,0.038,0.053,481,-1.92132,0.29318,0.73142,0.26905,-0.2,0.04743,1.58897,0.0682,441,88,0.3700440528634361,0.68666,0.2121,1.07665,2.38865,0.12508,0.43509,676.0,2.804166321846322,0.24981752018872888,55.316958947943625,9.225204508882562,0.34140969162995594,0.2532914170568418,0.0588192416814757,0.2206043056547299,0.055807661693670456,0.36152780407085056,0.08501458658338872
ASCC_21,82.1709,3.4393,0.339,0.0,7.011,0.035,-0.118,0.04,0.283,0.065,324,-1.01211,0.33296,0.01289,0.28135,-0.2,0.22471,1.46231,0.15549,367,73,0.2185430463576159,0.67624,0.2231,1.11475,2.08445,0.17204,0.17871,412.0,3.1632762100415426,0.3377477932471357,48.57385287481284,9.157383224143935,0.2152317880794702,0.4973765430488043,0.023780312356708272,0.4634448378486082,0.02364941688089942,0.21115309277499017,0.04329229706826093
ASCC_23,94.9038,46.6552,0.604,0.001,8.489,0.084,-0.069,0.046,0.376,0.044,165,-2.48028,0.52298,1.47645,0.29169,-0.09926,0.03635,1.52865,0.08211,248,49,0.4768211920529801,0.60778,0.20757,1.1971,5.59729,0.22107,0.07295,251.0,2.902844604651536,0.33294019807121317,35.048324875197444,6.953173527461791,0.4304635761589404,0.4903408564461102,0.04064567805785118,0.44460138070846117,0.04029400936193344,8.796962369038159,2.437378804689475
ASCC_29,103.556,-1.6495,0.988,0.011,8.129,0.085,-0.077,0.025,0.245,0.023,83,-1.41007,0.31793,1.81771,0.38568,-0.15249,0.04727,1.29508,0.06739,183,36,0.27941176470588236,0.42954,0.28635,1.19496,2.22426,0.23036,0.19328,117.0,2.3433113185584444,0.32419608476973116,16.531600693755156,3.7965557560374896,0.23529411764705882,0.4277426631662114,0.054414102633771624,0.36120923953216527,0.051439684246776834,8.141137564279232,2.4565116401852896
ASCC_30,104.2999,-6.3039,1.054,0.014,8.284,0.061,-0.115,0.066,0.662,0.087,158,-1.41979,0.24605,2.05389,0.30804,-0.12818,0.03204,1.48195,0.05173,325,65,0.33093525179856115,0.62057,0.24829,1.40977,7.19653,0.25831,0.00975,223.0,6.735968650014217,1.0855152111463808,98.68187955089539,25.814785130934997,0.2805755395683453,0.4020258360368445,0.03991151281908266,0.3586280537315979,0.03810746883536042,1.9487789831955145,0.5786293048081479
ASCC_41,116.5811,0.1407,0.292,0.0,8.0,0.0,-0.036,0.0,0.01,0.0,172,-2.11335,1.39517,0.05369,0.41894,-0.14519,0.15969,1.19448,0.16989,126,25,0.19135802469135801,0.63534,0.22267,1.04543,5.29042,0.29202,0.06808,213.0,2.8366607818373057,0.3915300003910264,41.79643374237283,9.595573095045877,0.18518518518518517,0.41960366931657167,0.030906083451418542,0.3775343296734308,0.030519335337842235,2.3925486230807524,0.5492783268958243
ASCC_67,175.2573,-60.9841,1.878,0.051,7.933,0.054,0.122,0.062,0.826,0.032,379,-1.60191,0.27407,1.99674,0.2166,-0.04045,0.0276,1.89361,0.07108,869,173,0.44333333333333336,0.58768,0.27033,1.21626,5.69254,0.17306,0.01061,591.0,8.894887862150073,0.4264092938349876,199.4169621646131,24.487654372195696,0.4066666666666667,0.3304108558311665,0.07615721332047766,0.2973120843105024,0.07494524420955362,0.4297717886821025,0.07510469875964847
ASCC_71,185.0383,-67.4613,1.236,0.023,8.071,0.045,-0.069,0.079,1.001,0.065,179,-1.65611,0.28705,1.88024,0.23971,-0.08666,0.03114,1.52766,0.0673,432,86,0.36619718309859156,0.53279,0.23116,1.28177,5.43335,0.21352,0.02771,268.0,3.987191733014404,0.5362067836387255,45.00345945017592,10.123276121863222,0.3380281690140845,0.5048283678908567,0.04042875895483942,0.45098149065772825,0.03969648279441104,2.616701000118788,0.6480566629722487
ASCC_77,212.7274,-62.3329,1.079,0.012,8.162,0.074,0.124,0.036,0.824,0.04,225,-1.54661,0.20111,1.9522,0.19803,-0.09789,0.02252,1.70897,0.04153,480,96,0.5945945945945946,0.6184,0.24189,1.39679,3.39075,0.25984,0.00076,375.0,2.4946626051823886,0.3054720741758136,27.58298585914489,5.76851488296025,0.5297297297297298,0.30097424510715065,0.09616361978668216,0.25510294917954157,0.08274418434810248,5.264519312749857,1.4201507096168902
ASCC_85,251.6975,-45.5185,0.847,0.006,8.267,0.09,0.056,0.036,0.747,0.026,222,-1.3284,0.19297,2.35252,0.33897,-0.17087,0.02854,1.57407,0.0401,383,76,0.35106382978723405,0.5491,0.26671,1.2002,5.24794,0.26672,0.00063,322.0,4.8036128058065755,0.43336381766241555,73.06903048173665,12.260938078589605,0.324468085106383,0.452753100423828,0.03481088858162498,0.4222031821138126,0.034145226984426076,2.53085145209405,0.6748505166767529
ASCC_9,41.6957,57.7834,2.119,0.05,7.265,0.062,-0.106,0.079,2.579,0.031,537,-1.446,0.19806,2.057,0.22399,0.06421,0.0275,2.14026,0.0837,2154,430,0.5,0.69543,0.256,1.38876,8.17966,0.33491,0.00033,845.0,10.93287343017632,0.4704559739621494,231.6278746204412,27.532757798160077,0.4781659388646288,0.3389160853137676,0.050297629450942107,0.3032311854350135,0.05299408481918121,0.07947109148608948,0.014763175755579243
ASCC_97,279.2937,-19.1604,0.561,0.003,8.07,0.167,0.075,0.08,1.508,0.065,140,-1.65519,0.34009,1.99606,0.33945,-0.08945,0.03523,1.5119,0.08099,280,56,0.45161290322580644,0.6588,0.20684,1.2071,1.30372,0.25134,0.02373,212.0,1.5738429697796794,0.24695671026942323,11.544968727791883,2.952419637347918,0.4274193548387097,0.5046160504753239,0.044690574966685555,0.476744981988519,0.04442573087858588,10.176706257429975,4.69965062992457
Alessi_10,301.2473,-10.5181,0.434,0.001,8.558,0.093,0.049,0.021,0.445,0.033,93,-2.11287,0.637,1.32728,0.40202,-0.2,0.06243,1.05129,0.10787,122,24,0.3142857142857143,0.73057,0.1976,1.40554,2.39725,0.34416,0.06567,102.0,1.4495980763289702,0.43810437984797757,8.905898717336333,4.13131321192228,0.3,0.48492163545495426,0.055486189283155685,0.4359963761073211,0.05477225575051661,40.580953602817004,20.73386718597747
Alessi_12,310.8453,23.933,0.534,0.0,8.369,0.114,0.003,0.019,0.272,0.035,369,-1.74628,0.27375,1.47123,0.32272,-0.2,0.03575,1.6195,0.04941,485,97,0.40063091482649843,0.68616,0.22802,1.03225,6.76948,0.10309,0.41607,548.0,5.782299614891967,0.41840637830534777,131.54633437846815,19.414066589328048,0.3753943217665615,0.3571901497377137,0.11029394669607179,0.32171968098341175,0.09771780790565436,1.777956983529737,0.5354111720923074
Alessi_2,71.5109,55.2127,0.602,0.002,8.502,0.034,-0.086,0.022,0.923,0.058,219,-2.05429,0.51569,1.35334,0.20437,-0.08663,0.03947,1.64342,0.0833,317,63,0.4648648648648649,0.61736,0.21988,1.14539,7.16951,0.16909,0.12186,339.0,4.633883528926556,0.5509149747298402,79.27525501086956,16.183947407506032,0.43243243243243246,0.5480484370066431,0.036669858178149516,0.5070042995542491,0.03642353143549434,4.007396848126429,0.8761980788739163
Alessi_21,107.723,-9.3886,0.557,0.0,8.0,0.0,-0.048,0.0,0.372,0.0,236,-1.67696,0.37049,1.3643,0.45012,-0.2,0.05681,1.52746,0.08254,386,77,0.48598130841121495,0.65148,0.24133,1.14623,3.85042,0.22131,0.02398,362.0,4.047508631033441,0.4659783328214289,61.798558889823944,12.324183038839037,0.4485981308411215,0.38503886895528433,0.09676580723593728,0.35191731060535714,0.09619242080449991,1.618160711130539,0.3227018420572674
Alessi_37,341.9395,46.3409,0.698,0.002,8.417,0.127,-0.009,0.044,0.647,0.061,187,-1.64751,0.27735,1.86685,0.23767,-0.1489,0.028,1.47249,0.05078,309,61,0.42857142857142855,0.60384,0.23877,1.13927,5.79351,0.15367,0.25633,286.0,4.699425983229597,0.5527373905799019,71.66527253014635,14.487963367007177,0.4025974025974026,0.5488671606621721,0.03987789473136304,0.5233367227299903,0.039519248476215414,3.6449472138690133,1.295795966587099
Alessi_6,220.0055,-66.0743,0.859,0.007,8.624,0.093,-0.191,0.044,1.225,0.085,265,-1.45521,0.25521,2.04146,0.19788,-0.09775,0.02365,1.69811,0.0485,598,119,0.5085470085470085,0.62396,0.21866,1.30664,6.74063,0.35045,0.0,415.0,3.355142860591198,0.258847374595687,41.809975959202795,6.380919656724493,0.49145299145299143,0.5871065185565691,0.032681246657645296,0.5340939809286749,0.032681246657645296,10.062828756347047,2.646124352491563
Alessi_62,284.0491,21.5531,0.607,0.002,8.936,0.014,0.035,0.059,0.864,0.094,157,-1.75713,0.33602,2.1294,0.1862,-0.10389,0.02212,1.54767,0.0464,285,57,0.48936170212765956,0.63907,0.22125,1.12399,2.64559,0.30272,0.0015,242.0,2.394800366771722,0.32152972918675116,23.80865872805742,5.353449782885827,0.44680851063829785,0.3942396805722124,0.13708379143652807,0.37673996205254157,0.15010160498077726,36.24641596252498,8.233449051737477
Alessi_8,232.5152,-51.2035,0.65,0.003,8.32,0.067,-0.051,0.054,0.335,0.046,80,-1.12576,0.40624,1.76437,0.49104,-0.2,0.06244,1.24241,0.0807,163,32,0.3968253968253968,0.49937,0.23773,1.27588,2.8655,0.37656,0.00631,122.0,2.739685746611455,0.41312680448656414,22.841610334444738,5.632081520735663,0.30158730158730157,0.3761269526711942,0.06163834629743043,0.3230304192175404,0.05782189417658436,9.146886319584132,2.6604319057308294
Alessi_Teutsch_11,304.2059,52.0102,0.638,0.002,8.253,0.13,0.024,0.039,0.257,0.047,137,-1.54694,0.28352,1.32519,0.16617,-0.11956,0.03455,1.44864,0.05898,217,43,0.3963963963963964,0.54755,0.25307,1.46606,3.08545,0.37954,0.00013,207.0,2.085945418558686,0.27328370532651897,19.643977307183853,4.3232726730888125,0.36936936936936937,0.4030400592650666,0.046427924701360514,0.36454189843127077,0.0458095979499245,9.115291806921734,3.3866452079070317
Alessi_Teutsch_3,118.2504,-52.99,0.684,0.002,8.173,0.17,-0.039,0.02,0.744,0.043,133,-1.79785,0.33525,2.00294,0.4135,-0.2,0.03818,1.29049,0.06,235,47,0.32456140350877194,0.61624,0.28286,1.30663,6.08985,0.26923,0.02904,189.0,3.9492215840378986,0.6578969197485997,45.84256339827522,12.338530168493495,0.2894736842105263,0.37774191695052417,0.04385195377243236,0.3503890130677232,0.04247586211965555,3.248860812541192,1.5433512395518056
Antalova_2,262.4912,-32.5176,1.184,0.03,6.76,0.073,0.019,0.045,1.336,0.118,76,-1.03702,0.27772,1.98288,0.5825,-0.2,0.05724,1.11734,0.1015,161,32,0.5396825396825397,0.67685,0.20924,1.09704,1.61058,0.29724,0.21455,123.0,1.370608275750451,0.5514208586382658,8.182025022956822,5.004171478028798,0.5238095238095238,0.4095744789307052,0.188046453824225,0.370160609466049,0.18031987039684766,0.7032976991913477,0.4460898712869336
BDSB96,106.3591,-12.3197,1.083,0.017,6.685,0.055,0.003,0.088,1.13,0.24,88,-1.34855,0.18232,2.47245,0.47512,-0.19479,0.03008,1.26601,0.05095,181,36,0.48717948717948717,0.74547,0.19682,1.28536,1.14772,0.15152,0.82128,136.0,0.7889226015982812,0.3395178067840352,3.632384876024664,2.372491067568356,0.48717948717948717,0.37334668502896873,0.16972194817457414,0.3371648315258397,0.1555097043926388,1.3329324510181981,0.8868186657850798
BH_164,222.1841,-66.3594,0.399,0.007,7.769,0.052,-0.003,0.021,0.422,0.05,377,-1.56942,0.37022,0.58761,0.38287,-0.2,0.08407,1.53209,0.08933,432,86,0.39171974522292996,0.57299,0.21439,1.02423,4.32456,0.06277,0.96066,563.0,3.191413299087139,0.27102367314113945,58.42367168938546,9.444841409641933,0.34394904458598724,0.2751987825904772,0.06707492121472448,0.2577541739052124,0.07101572977487855,1.0055673249247585,0.202293253163293
BH_200,252.4797,-44.1808,2.038,0.043,7.416,0.065,0.13,0.028,2.596,0.025,261,-1.5479,0.37883,1.72685,0.31103,0.03562,0.0455,1.86878,0.11607,976,195,0.3584905660377358,0.61987,0.26478,1.2545,2.20769,0.4059,9e-05,386.0,1.8561951901198737,0.17182730633472737,12.706094674217935,2.173450812757157,0.3490566037735849,0.35134464464886983,0.03293612171579608,0.3106650021498979,0.11922597013050043,2.0511050931228065,0.46619500878122266
BH_205,254.0465,-40.635,1.616,0.031,6.78,0.064,0.148,0.045,1.445,0.038,598,-1.18491,0.12323,2.56314,0.28953,-0.13726,0.0225,1.91893,0.04323,1643,328,0.5347912524850894,0.7536,0.2346,1.13882,2.10006,0.0455,0.89492,962.0,3.127394905474492,0.20846773959779177,45.18771135081192,6.38428841355592,0.5347912524850894,0.34839427287936214,0.07262221151670688,0.31913325289772104,0.052576808868611026,0.13334589605488653,0.027222709862846476
BH_23,123.53,-36.2622,0.432,0.001,7.449,0.423,-0.013,0.034,0.141,0.425,166,-1.48794,0.48532,0.1394,0.44152,-0.2,0.16789,1.22225,0.15773,181,36,0.4689655172413793,0.66718,0.22559,1.32364,3.90639,0.33649,0.01966,255.0,2.30882209304455,0.5238366266455542,29.463416727979403,10.44653291732544,0.42758620689655175,0.48553226280185957,0.04144267839166776,0.4558459231522877,0.041084961806948546,0.9543702471304588,0.989224779562116
BH_87,151.1534,-55.3638,2.041,0.084,7.389,0.193,0.027,0.054,1.942,0.046,314,-2.49915,0.27092,2.64531,0.28947,0.01233,0.01871,1.92604,0.05934,909,181,0.48518518518518516,0.74487,0.2396,0.92598,2.71775,0.19596,0.00941,489.0,2.0803416346382866,0.16665670209001154,18.902702992759842,2.9497850961429477,0.48148148148148145,0.3905239267864167,0.10507915337406315,0.358917449045346,0.08243407869741409,1.2956153639946588,0.610236634442068
BH_90,153.0698,-58.0717,2.384,0.082,7.696,0.292,0.01,0.056,1.979,0.097,243,-2.02665,0.36037,1.63764,0.20488,0.04633,0.031,1.83494,0.10706,594,118,0.5668449197860963,0.664,0.25978,1.13465,1.76166,0.13365,0.45127,405.0,1.5680880392967085,0.14455274084010025,13.143484386958132,2.2377165434156625,0.5614973262032086,0.39602806306413313,0.10614141786461113,0.3619672183877068,0.08300331435804065,3.77823952028344,2.6204946958839046
BH_92,154.7782,-56.42,2.301,0.05,7.449,0.195,-0.009,0.036,1.897,0.06,73,-1.18355,0.3544,1.55179,0.34701,0.02499,0.06203,1.43735,0.12313,215,43,0.4166666666666667,0.59808,0.28772,1.07144,0.80176,0.375,0.0363,111.0,0.6765392904316514,0.17218082898858109,2.2758242394453707,0.8981168803272248,0.4,0.41348543864503673,0.06364688465216445,0.35337767492443006,0.20973735957144118,12.355527204878587,7.385881716570778
Basel_11a,109.3146,-13.9862,1.317,0.027,8.036,0.112,-0.126,0.043,0.582,0.047,145,-1.88476,0.34415,2.0336,0.28379,-0.13203,0.03374,1.34605,0.06998,242,48,0.41379310344827586,0.57756,0.25485,1.35629,2.06367,0.31021,0.00187,222.0,1.611217091230592,0.2095565854917013,13.331695242268918,2.9176656715216898,0.3879310344827586,0.4650377077927246,0.04572861955536126,0.4172530081780774,0.04524269296764523,8.14919336119002,2.7563449540316043
Basel_11b,89.5399,21.9688,1.66,0.028,8.456,0.045,-0.093,0.049,1.918,0.054,116,-1.80688,0.53805,1.48111,0.27899,-0.01582,0.0503,1.42379,0.12911,412,82,0.5212765957446809,0.56621,0.26824,1.36332,1.88184,0.2729,0.02426,187.0,1.8436622381958938,0.22812791944732963,10.953634983687529,2.306830138485348,0.44680851063829785,0.4782605006698967,0.2263090179255886,0.43487508028966493,0.05127840836514522,26.088057048007812,6.123111883418881
Basel_17,167.6268,-59.082,2.118,0.087,7.913,0.051,0.016,0.064,0.781,0.033,230,-1.82649,0.27998,2.48042,0.3398,-0.09258,0.02677,1.59448,0.06054,798,159,0.4973544973544973,0.66308,0.23385,1.32803,3.6326,0.30528,5e-05,365.0,4.99933049153853,0.4288798613107961,59.391067505919224,9.665210025355613,0.4973544973544973,0.3814521843098131,0.09953465552863755,0.34506193726448686,0.10292509802138666,1.3780940846924798,0.27656133337217825
Basel_18,202.0204,-62.3073,1.722,0.045,7.381,0.046,0.094,0.052,1.154,0.047,117,-1.44976,0.19738,2.10409,0.30076,-0.06571,0.03582,1.47719,0.05353,362,72,0.5154639175257731,0.68921,0.26537,1.32069,2.46778,0.30162,0.00839,187.0,2.3550237091517223,0.5127002029187404,16.870325886525045,5.758925165520372,0.4948453608247423,0.4032015729262993,0.15807331303862135,0.36053061414880877,0.14135182589652787,1.4252023441511514,0.5093943696098548
Berkeley_1,2.4542,60.469,3.541,0.152,8.179,0.475,-0.141,0.045,2.05,0.083,112,-2.14327,0.66169,1.50843,0.2296,0.05669,0.04472,1.61472,0.17761,617,123,0.7532467532467533,0.58797,0.25308,,,,,205.0,1.8881301709136193,0.30053920477966634,9.957481081470126,2.576301167929114,0.7012987012987013,0.4077455390439943,0.14867489376615853,0.38205221239307524,0.15872840020355736,15.165282683531851,17.044469495403995
Berkeley_10,54.8992,66.4809,2.093,0.053,8.895,0.02,-0.116,0.055,2.649,0.07,235,-0.9677,0.59563,1.53781,0.20883,0.07311,0.04776,1.81732,0.12747,882,176,0.5608465608465608,0.72911,0.29462,1.1908,3.50343,0.12949,0.58448,387.0,2.4924645200975246,0.21255752328111957,20.840659842372165,3.38095945993076,0.5396825396825397,0.5097352343959494,0.18449972917919086,0.4822964913464176,0.16087964232281116,37.678060126175566,6.353978787060359
Berkeley_11,65.1311,44.9242,2.436,0.147,7.794,0.311,-0.15,0.025,2.75,0.04,150,-1.75295,0.28412,2.00813,0.29483,0.07445,0.02853,1.76069,0.08416,514,102,0.5590551181102362,0.69239,0.23234,2.12512,1.86439,0.49882,0.01841,244.0,1.5840886282272932,0.19686932369034066,9.599188036057992,2.027155621223018,0.5511811023622047,0.4359712533759331,0.13790258197844946,0.4042989268552157,0.13519417284290314,6.482842953295382,4.840048346801104
Berkeley_15,75.4981,44.5009,2.14,0.118,7.468,0.288,-0.138,0.029,2.856,0.071,212,-2.30931,0.44534,1.54577,0.23747,0.10723,0.03239,1.99598,0.13395,544,108,0.49444444444444446,0.6797,0.27264,1.5163,4.23204,0.294,0.04549,333.0,2.2909023164812203,0.26564521624706683,20.73896354924789,4.153327619083758,0.4777777777777778,0.38317926390063345,0.10595011061647529,0.36000508267724307,0.09647840785606746,1.416488169712833,0.9812362932793212
Berkeley_28,103.0329,2.9227,3.585,0.239,8.525,0.084,-0.257,0.053,2.122,0.075,137,-2.55232,0.51826,1.79146,0.17769,0.09913,0.02373,1.88719,0.13099,356,71,0.6666666666666666,0.66125,0.25485,,,0.21573,0.65448,240.0,1.8118922593601472,0.23010120266792683,13.928736587886231,2.9948816023767497,0.6470588235294118,0.7231967967703354,0.04667600280093366,0.6487950813964956,0.047317627443520215,24.048515602567004,6.955031424063437
Berkeley_30,104.4364,3.2298,4.091,0.139,8.642,0.029,-0.199,0.04,1.596,0.027,199,-2.7263,0.64915,1.84791,0.17212,0.09864,0.02554,1.98747,0.16149,909,181,0.5379310344827586,0.63104,0.2631,,,0.59694,0.1559,331.0,2.0120565115329176,0.20242965484912606,13.14237535143431,2.3760734278999966,0.5172413793103449,0.5891123814976801,0.041403084727912175,0.5354179661817057,0.041498046056159685,33.36768932924485,6.431025012401715
Berkeley_37,110.0788,-1.0041,4.396,0.119,8.996,0.018,-0.222,0.034,0.288,0.024,252,-2.52661,0.8171,1.72362,0.21909,0.05071,0.03003,1.86837,0.14262,598,119,0.41706161137440756,0.68015,0.26696,1.38944,4.04979,0.27297,0.00075,381.0,3.6390597901908466,0.3126481730098203,44.095820912468206,7.179344497962949,0.3981042654028436,0.6760321060766377,0.033944561974500596,0.6121720654204447,0.033699062615881875,22.46997389751754,3.7750678489161613
Berkeley_4,11.2768,64.3894,2.698,0.162,7.109,0.049,-0.134,0.044,2.331,0.051,143,-1.40593,0.28964,1.33632,0.22212,0.13698,0.04695,1.75902,0.13654,645,129,0.4369747899159664,0.62872,0.2672,,,0.50704,0.99301,219.0,2.0388431813746464,0.249094107229193,11.501859369865238,2.4012379676944056,0.42857142857142855,0.39080941082767656,0.18060724077434867,0.36576478896776254,0.1546189744761298,1.1174598981022619,0.26518098251878114
Berkeley_47,292.1327,17.3626,2.182,0.126,7.131,0.212,0.175,0.155,3.931,0.047,90,-0.95462,0.25407,0.90883,0.24215,0.2,0.09061,1.66442,0.13592,624,124,0.6037735849056604,0.49513,0.30803,,,,,159.0,1.481639810526312,0.274563268935945,5.665039917891904,1.672262616665672,0.5660377358490566,0.2641741363116918,0.16523229738131204,0.2359666640558044,0.15704503407800316,2.386695562239597,1.3615163990983552
Berkeley_6,27.7981,61.0593,2.448,0.111,7.562,0.318,-0.114,0.029,2.447,0.063,208,-2.15797,0.30397,1.73977,0.21555,0.08947,0.02587,1.93669,0.09462,845,169,0.6222222222222222,0.71364,0.24831,1.05948,1.81415,0.23188,0.17448,348.0,2.216322118163755,0.3584301592719554,16.39979878708161,4.303102384869943,0.6055555555555555,0.44340479914646724,0.11212612925386323,0.41049747327745256,0.09415903335899393,2.2241367205854417,1.7299671552913458
